Wavelength (micron),c Air (m2),c H2O (m2)
1.00E-02,4.76E-60,4.20E-60
1.50E-01,4.76E-60,4.20E-60
1.60E-01,4.76E-60,4.20E-60
1.70E-01,4.76E-60,4.20E-60
1.80E-01,4.76E-60,4.20E-60
1.90E-01,4.59E-60,3.80E-60
2.00E-01,4.41E-60,3.52E-60
2.10E-01,4.23E-60,3.32E-60
2.20E-01,4.08E-60,3.17E-60
2.30E-01,3.96E-60,3.06E-60
2.40E-01,3.86E-60,2.96E-60
2.50E-01,3.77E-60,2.89E-60
2.60E-01,3.70E-60,2.82E-60
2.70E-01,3.64E-60,2.77E-60
2.80E-01,3.58E-60,2.72E-60
2.90E-01,3.54E-60,2.68E-60
3.00E-01,3.50E-60,2.65E-60
3.10E-01,3.46E-60,2.61E-60
3.20E-01,3.43E-60,2.59E-60
3.30E-01,3.40E-60,2.56E-60
3.40E-01,3.38E-60,2.54E-60
3.50E-01,3.36E-60,2.52E-60
3.60E-01,3.34E-60,2.50E-60
3.70E-01,3.32E-60,2.49E-60
3.80E-01,3.31E-60,2.47E-60
3.90E-01,3.30E-60,2.46E-60
4.00E-01,3.28E-60,2.45E-60
4.10E-01,3.27E-60,2.44E-60
4.20E-01,3.26E-60,2.43E-60
4.30E-01,3.25E-60,2.42E-60
4.40E-01,3.24E-60,2.41E-60
4.50E-01,3.23E-60,2.40E-60
4.60E-01,3.22E-60,2.39E-60
4.70E-01,3.21E-60,2.38E-60
4.80E-01,3.20E-60,2.38E-60
4.90E-01,3.19E-60,2.37E-60
5.00E-01,3.18E-60,2.36E-60
5.10E-01,3.18E-60,2.36E-60
5.20E-01,3.17E-60,2.35E-60
5.30E-01,3.17E-60,2.35E-60
5.40E-01,3.16E-60,2.34E-60
5.50E-01,3.16E-60,2.34E-60
5.60E-01,3.15E-60,2.33E-60
5.70E-01,3.15E-60,2.33E-60
5.80E-01,3.15E-60,2.32E-60
5.90E-01,3.14E-60,2.32E-60
6.00E-01,3.14E-60,2.32E-60
6.10E-01,3.14E-60,2.31E-60
6.20E-01,3.13E-60,2.31E-60
6.30E-01,3.13E-60,2.31E-60
6.40E-01,3.13E-60,2.30E-60
6.50E-01,3.12E-60,2.30E-60
6.60E-01,3.12E-60,2.30E-60
6.70E-01,3.12E-60,2.29E-60
6.80E-01,3.12E-60,2.29E-60
6.90E-01,3.11E-60,2.29E-60
7.00E-01,3.11E-60,2.29E-60
7.10E-01,3.11E-60,2.28E-60
7.20E-01,3.11E-60,2.28E-60
7.30E-01,3.11E-60,2.28E-60
7.40E-01,3.10E-60,2.28E-60
7.50E-01,3.10E-60,2.27E-60
7.60E-01,3.10E-60,2.27E-60
7.70E-01,3.10E-60,2.27E-60
7.80E-01,3.10E-60,2.27E-60
7.90E-01,3.09E-60,2.27E-60
8.00E-01,3.09E-60,2.26E-60
8.10E-01,3.09E-60,2.26E-60
8.20E-01,3.09E-60,2.26E-60
8.30E-01,3.09E-60,2.26E-60
8.40E-01,3.09E-60,2.25E-60
8.50E-01,3.09E-60,2.25E-60
8.60E-01,3.09E-60,2.25E-60
8.70E-01,3.08E-60,2.25E-60
8.80E-01,3.08E-60,2.25E-60
8.90E-01,3.08E-60,2.25E-60
9.00E-01,3.08E-60,2.24E-60
9.10E-01,3.08E-60,2.24E-60
9.20E-01,3.08E-60,2.24E-60
9.30E-01,3.08E-60,2.24E-60
9.40E-01,3.08E-60,2.24E-60
9.50E-01,3.08E-60,2.23E-60
9.60E-01,3.07E-60,2.23E-60
9.70E-01,3.07E-60,2.23E-60
9.80E-01,3.07E-60,2.23E-60
9.90E-01,3.07E-60,2.23E-60
1.00E+00,3.07E-60,2.22E-60
1.10E+00,3.07E-60,2.21E-60
1.20E+00,3.06E-60,2.21E-60
1.30E+00,3.06E-60,2.21E-60
1.40E+00,3.05E-60,2.21E-60
1.50E+00,3.05E-60,2.21E-60
1.60E+00,3.05E-60,2.21E-60
1.70E+00,3.05E-60,2.21E-60
1.80E+00,3.05E-60,2.21E-60
1.90E+00,3.05E-60,2.21E-60
2.00E+00,3.05E-60,2.21E-60
3.00E+00,3.04E-60,2.21E-60
4.00E+00,3.04E-60,2.21E-60
5.00E+00,3.04E-60,2.21E-60
1.00E+01,3.04E-60,2.21E-60